Permalink,Comment
1463681577145919,It’s my understanding that a lockdown of Japan is illegal. The Prime Minister can suggest it and most people will comply. Japan is also a socially distant society. Very little touching to begin with
1463681577145919,Maybe they didn't send the infected to nursing homes to infect the elderly.
1463681577145919,"So...I alwAys wondered about all those foreign Chinese students with their masks on, on the tram? Now I get it! It was not about AIR pollution! It was about the viruses that run rampant in CHINA!😡😡😡"
1463681577145919,"I lived there for 6 years, and that is saying something! Let's get to it!~"
1463681577145919,Because our hospitals get 30k per covid reported deaths and Japanese are honest people. And they dont have Democrats screwing them everyday.
1463681577145919,"The Japanese did not have the ""benefit"" of Cuomo, Murphy, Whitmer.....and so on."
1463681577145919,Because numbers were boosted to perpetrate an agenda
1463681577145919,True
1463681577145919,Probably because they don't cry about wearing a mask.
1463681577145919,"Or maybe more people fled to New York then flew to Tokyo, after XI realised there was a pandemic raging?😡😡😡"
1463681577145919,Masks
1463681577145919,True cause of death reporting
1463681577145919,Cause maybe japan actually cares about its people?
1463681577145919,How do we really know if NYC was really hit hard???? to Many main stream medias that lie!
1463681577145919,japan has had masks for years
1463681577145919,Their mass transit  literally packs them in like sardines.
1463681577145919,"oddly, they all wear mask"
1463681577145919,This virus was never ever meant to go around the world it was meant to come here the Chinese meant for the virus to hit the United States and not go around the world they are embarrassed by the world infection they are trying to save face by lying abou…See More
1463681577145919,Umm  the totals in NY are all bullshitt read and follow some real news
1463681577145919,Let's be honest. We killed the vast majority of their population that would be in their late 80s and 90s 75 years ago.
1463681577145919,Let’s face it any technological biological weapons originated in the USA and/or Israel.   Most people I find that blame a country doing better financially than Israel or the USA is suddenly the culprit.  The people shout out and pointing fingers are the biggest Zionists and just jealous hell raisers.
1463681577145919,Probably because even before COVID-19 the Japanese culture seems to have always been wearing medical masks for some germ or virus etc goin around
1463681577145919,Japanese tend to handle being sick different.
1463681577145919,Masks.
1463681577145919,"Orrrrrr, maybe New York was “seeded” with the virus to instill public fear. That would be murder, (eugenics) however deniable and plausible."
1463681577145919,"New Yorkers can't figure out by quarantine themselfs indoors, sharing the same dark moisture air is the breeding ground for Cordonvirse, while sunlight kills the Cordonvirse by New Yorkers not quarantine themselves indoors."
1463681577145919,"There you go,Japan prime minister ends lockdown,here we are waiting for POTUS, to end state of emergency"
1463681577145919,Most countries that have allowed their people to carry-on business as usual have developed heard immunity. This just proves that case yet again.
1463681577145919,"The Japanese are statistically healthier than Americans but yes, they probably counted deaths correctly"
1463681577145919,Good job
1463681577145919,NY ers too fat.  The thing the virus likes best.
1463681577145919,Maybe because New York is a democratic ran state and the numbers are inflated
1463681577145919,Overinflated
1463681577145919,That's due to their strict travel ban early on
1463681577145919,So....why such a difference?
1463681577145919,5 G pushing over 60 hertz microwaving the people look it up covid-19 has the same side effects as radiation poisoning drink wine don't wine
1463681577145919,Japan also won’t let socialism and globalism into their system.
1463681577145919,Probably because Tokyo didn't make their nursing homes take in COVID19 infected patients like NY did.
1463681577145919,Toyok reports the real numbers unlike USA... You could get shot and die but had tested positive for covid you died from covid19 not the bullet going through your heart
1463681577145919,Because the governor is a fraud. They get more money to kill people legally. Sickening actually
1463681577145919,Donneal BINGO! Making Co-vid patients go to nursing homes instead of the empty temporary hospitals.…See More
1463681577145919,Yes.  Get smart. It’s politics
1463681577145919,It was all politics from the beginning.  But now we have identity politics returning.  Soros woke up the BLM and Antifa punks who were resting in their mommy's basements and told them it's time to work again.  F*cking slugs.
1463681577145919,"Padding numbers in us ,dont test they will have nothing"
